review,label
"Although the one I received had a manufacture defect of an upside down image, it is cute and I have contacted the seller about it to resolve the problem. The canvas tote is well made and has leather strapping as handles.",1
True to color and a great size. The adhesive is actually very strong. Properly clean the surface before attempting to install. They take some patience and precision to install but the end result in beautiful and makes the space look more polished. We used them in our rv bathroom and love them. The color is dreamy.,1
De mucha calidad por su precio las brochas el pelo suave y agradable muy bien embalado,1
Buena calidad del sonido los recomiendo pequeño y muy fácil de transportar El sonido sale en buena calidad y coge bastante bien la radio,1
I think this Pulley is better than the original one. Very sturdy made.,1
Very pretty earrings. Kinda big for me personally as a prefer smaller-sized earrings but will probably give a pair to my niece since they're v.stylish.👍,1
"Me han llegado otros diferentes, blancos y sin cable. Nada que ver con los de la foto.",0
Es muy práctica y cómoda estoy contenta,1
Never received it! It days it shipped and delivered and I never got it. Contacted seller several times and they’ve done absolutely nothing about it. I want my money back SMH,0
Not as protective as other speck cases,0
A gift for my mom on mother’s day and she loved it! She loves how roomy it is for caring a lot of things and how the look of the back pack is in general.,1
"Good on symptoms and diagnostics, treatment not so much",0
Siempre me sorprendo,1
My book club read this book recently. We all liked it for various reasons. This book provided us great entertainment.,1
"This toliet seat has been great for potty training! Fits perfectly and allows my daughter to have self sufficiency when she needs to use the toliet. I love the handles, very helpful for her, and the hook it comes with so we can have a clean place to store it while not in use.",1
Todo perfecto.. el envío rapidísimo.. lo recomiendo 100%.. el móvil es tal cual se muestra en la foto .. muy contentos..,1
Remote never worked. Can’t find a way to get a new one. Lights will not work,0
"My dog ,a super hyper Yorkie, wouldn't eat these. Didn't like the smell of them and probably didn't like the taste. I did manage to get them down him for 3 days to see if it would help him . The process of getting them down him was traumatic for him and me. They did not seem to have any effect on him one way or another , other than the fact that he didn't like them and didn't want to eat them. I ended up throwing them away. Money down the drain. Sorry, I can't recommend them.",0
I thought they’d be much softer. They’re not terrible but not worth the $$,0
I like the idea that there are words that an be used for many things. They cut clean with no problems.,1
"A great purchase. I was looking at pottery barn chairs but was so put off by their price that I looked elsewhere. This chair is very comfortable, looks fabulous, and great for nursing my baby.",1
"Igual que la foto, muy bien",1
"This should not be sold as a fitness tracker. I have had it on 36 hrs now and it says I haven't slept at all, the steps are very in accurate and the camera button does not work. The reason I gave it 2 stars is because so far the time has stayed correct and if I have bluetooth on it lets me know calls and texts but dont try to read texts because they only fash across the screen once and there is not a way to look at them again. Since I paid $20 for it, I do not find it reasonable to pay shipping to return it. I will just use it as a watch until it dies. Nice job on making a slim design watch that actually fits my small wrists.",0
Beautifully crafted. No problem removing cake from pan and the cakes look very nice,1
No me enviaron el color que pedí.,0
"I love these products so much! The material is so soft, and their designated are so cute! These sheets fit our crib mattress perfectly, and my baby loves to sleep on it!This is a set of two sheets, and they are very snug. You will not believe how soft these sheets are until you feel them yourself! I highly recommend these!",1
"Very thin material, the small fit very large, especially in chest. Not sure who this would fit it's just a strange design and material. For reference I am 5'8, 130lbs, 32DD. Provided no support as well and very flimsy",0
Loved these so much we bought a 2nd set,1
I got a thank you card asking for a review . Saying their a Small family buisness. I bought this as a gift and the boy loves it ..,1
Stupid story line & beyond boring!,0
Very comfortable perfect to correct the posture you can use hours without any problem my children like. because it gives them a better posture when sitting in front of the desk.,1
estoy muy satisfecho muy contento con el produto volvere a comprar en esta tienda ideal para lo que busco gracias,1
it worked great till the handle snapped in half and the screw the loosen/ tighten the amount of movement for the handle was broken. super upset:/ this happened the first time i got it out to test it with my canon t5.,0
Me vino en perfecto estado. Nuevo.,1
"Love this product! Taste great, dissolves nicely in cold or warm liquids. The best part that I love about this product is there is just 1 ingredient....beet juice powder....nothing else and especially no Stevia or other sweetener!!!!",1
Very fake looking. I sent back.,0
Not to well when u have to erase it,0
Horrible product!! My hair looked and felt so bad after using it that I had to wash it. Does absolutely nothing that it is supposed to do and I am a frequent dry shampoo user so I know what it is supposed to do. Either this product is counterfeit or just horrible.,0
I guess I’ll be lucky to get one Christmas out of the tree. I didn’t plan on it being disposed after one use,0
AWESOME! Super heavy duty. Holds each set of keys on our event board. Exactly what I was looking for.,1
"This is a very neat phone/camera stick! what's great about it is that it comes with a very unique mini tripod that you can use to take group photos, yet it's as compact and about the same weight as a small selfie stick. I've used it in my recent ski trip and everyone was amazed by it, setting it up and taking pictures is super easy, and there is even a remote control for triggering the photo function. Overall I'm extremely happy with it and would not hesitate to recommend it to others.",1
"This book was a great read. Fun and hot! The romance between the two main characters was sweet. The authors hit all the feels. However, the tension was a bit lacking. They tried but it just didn't work for me. Will read more from the authors.",1
"I enjoyed that Alabama Moon was a ""clean"" movie that the family can watch. It moved along and kept my interest.",1
Product was perfect shipping was incredibly slow...,0
Had to buy different filters because these wouldnt work with CV carbs,0
"Had this bowl for only 3 months and used it only 6 times when it cracked. I was washing it by hand and heard it crack. This is not a durable product. Perhaps the bowl is too big and makes it weak. I'm going back to glass for my ""go to"" large Mixing bowl- not fancy but durable!",0
These are really low quality.,0
"Outstanding, exceed my expectations!",1
Do not buy. Arrived open and popcorn was all over box! I want a refund or a replacement! Was also left in rain with no plastic on it so it was a real soggy mess on my porch!,0
biggest piece of crap i ever got on amazon.,0
"Proteger protege, pero por los bordes queda despegado dando una sensación de estar empañado por los bordes. No repetiría la compra.",0
Have patience putting it on! Love the flower pattern.,1
"very stiff, still can't shape it well",0
I originally bought theses to workout in. The first two to three weeks were fine the battery lasted forever and I had no issues. One day the headphones died early during my run. I charged them the next day and they lasted a less amount of time. Since then they have been dead and I can’t seem to charge them. I have tried the cord that came with the head phones along with several other types of cords and no luck. I can’t charge the head phones and they’re worthless. Spend a little extra and get some good quality workout headphones.,0
Great for space saving. I bought these to store our extra comforter bed sets and blankets and I’ve used 2 large bags and one medium and I’ve been able to fit 2 comforter sets and sheet and most of our blankets in them.,1
Great football for teaching the little ones how to catch. Don’t have to worry about them getting hurt or hit in the face when catching cause this is extremely soft. My kids love it and they are able to grip it because its squishy.,1
"Very impressed by this screen protector! Many are hard to put on or get bubbles underneath them. This one was very easy to place and came with an alcohol wipe, microfiber cloth, squeegee, and a dust removal sticker. The screen applicator has little tabs that you can hold to place the screen. Shipping was not incredibly fast, but the product seems worth the wait.",1
I have not received any shoes. Please check into this matter and refund my money without delay Thank you,0
I have only had these pens for two weeks and they are already severely dry and low on ink. I believe I have received defective pens. I would purchased from another vendor for a better return policy.,0
This was a gift for my son. He loved it and wants more,1
"Aunque encaja, no está diseñada para la Caja de los AirPods 2, por lo que me gustaría que viniese detallado en especificaciones.",0
Very cheap items. They arrived broken and I’m very disappointed. I planned to do some meal prep this weekend now I have to make other plans. Some of them are actually cracked.,0
"These lump up after about a week, causing them to be uncomfortable.",0
The 1st cracked immediately after applying it to my phone. The second one was chipped on the bottom.,0
You want an HONEST answer? I just returned from UPS where I returned the FARCE of an earring set to Amazon. It did NOT look like what I saw on Amazon. Only a baby would be able to wear the size of the earring. They were SO small. the size of a pin head I at first thought Amazon had forgotten to enclose them in the bag! I didn't bother to take them out of the bag and you can have them back. Will NEVER order another thing from your company. A disgrace. Honest enough for you? Grandma,0
Typical Carhartt quality....first rate! What an awesome company! Never owned a Carhartt product that disappointed...and there have been hundreds. My last Carhartt wallet lasted 15 years! What else was I going to buy?,1
"Durmiendo entre las nubes... super b, d medidas perfectas tb... lo recomiendo. Super calentitas para este invierno!!! Buena compra !",1
La entrega en la fecha señalada sin ningún contratiempo y el libro genial me ha encantado y me dio pena terminar el libro pues quería seguir en ésa aventura,1
Super nice box!!! Got it next day!! Made really well .. I'm happy with it,1
"I installed this battery pretty easily on a compatible MacBook Pro (Mid 2012) and it was great for the first week or so. After that, the MacBook was incredibly unstable and would not stay running (even connected to power) for more than an hour before crashing. I did a bunch of troubleshooting thinking my older Mac was starting to show it's age in other ways, but to no avail. As a last hail Mary effort, I ended up putting the battery I replaced back in to the machine and it has been stable since. I am unable to return this battery at this point, but I definitely would if I could. Pretty much a waste of time and money.",0
The shakers are really cute but a little bigger then I imagined. No issues with salt and pepper spilling from the seams. After a week of adjusting to the size I absolutely love them. Really good price quality for the price.,1
"Excelente calidad de los materiales. Muy buena presentación en lineas generales. Cables de muy buenos materias, se los ve muy solidos. El respaldo de JBL lo dice todo. Mi unico ""punto negativo"", el manual de usuario, es muy confuso porque estan todos los idiomas en una misma pagina, prefiero uno digital y con los idiomas separados. No es una tragedia. Lo recomiendo con los ojos cerrados.",1
"I saw the John Wayne version of this film in a theatre in 1970. In my opinion this was his best performance of his career. Later, I read the book. I love both versions of the film, but if I had to choose, I would choose the Coen brothers. They really followed the book. As Matty states, ""You must pay for everything in this life. Nothing is free except the grace of God."" She pays a heavy price for justice. The Coen brothers portrayed the ""spirit"" of the story completely. And every actor was totally believable in his/her part. An incredible work of art.",1
Bought for my piano. Tuner would not pick up the top and bottom registers of piano. Also I felt there was too much variance of tuner itself when attempting tuning. Checked it against a tuner app on smart phone and many notes 5 to 10 cents off. Will send back.,0
"I looked at all the gloves and chose this one for price and quantity, its great to have two",1
We broke the original cup holders on our camp chairs and needed replacements. These cup holders were perfect replacements and are better than the originals.,1
Had this product for a little over a week and it stopped working. Never did work when you placed the phone sideways in it...super picky on placement when the phone is upright. Very upset that it doesn’t work after a week of use...DO NOT BUY!,0
"Era un regalo para mi sobrino. Tiene 8 años y pedi la talla 12. Me mandaron la 12 de camiseta y di por hecho que el pantalon tambien era la 12 que es lo que pedi, cuando se lo di queda fatal, me habian mandado la 14 de pantalon.",0
Todavía no lo he recibido.,0
"I loved this rose gold color and everything about it was great! The only thing I had an issue with, was it was really plain. I like having a little more detail in the handles and I did notice that before I purchased it which is why I still give this 5 stars! It was easy to clean and all came in wrapped individually which I found to be really organised and it calmed my soul lol love, love, LOVE the color and I would definitely buy this again for myself or for a loved one!",1
"I did not receive this item, what steps to take to have this item verified ?",0
"Es para lo que es, es decir, un viaje o poco uso. Tenemos mellizas y necesitábamos una pequeña para cuando queremos ir a la farmacia o a la tienda sólo con una",1
